Time Limit,n=100 SA,n=100 LS,n=200 SA,n=200 LS,n=300 SA,n=300 LS,n=400 SA,n=400 LS
3,3484.0,3484.0,6671.0,6671.0,11381.0,11381.0,15591.0,15591.0
5,3650.67,3650.67,6671.0,6671.0,11381.0,11381.0,15591.0,15591.0
10,3744.0,3744.0,6671.0,6671.0,11381.0,11381.0,15591.0,15591.0
30,3834.67,3834.67,7454.67,7454.67,11381.0,11381.0,15591.0,15591.0
60,3834.67,3834.67,7874.0,7874.0,11381.0,11381.0,15591.0,15591.0
